TICKER,NAME,DATES_IN,DATES_OUT,SECTOR
MMM,3M CO.,,,INDUSTRIALS
ABT,ABBOTT LABORATORIES INC.,,,HEALTHCARE
ABBV,ABBVIE INC.,20121231,,HEALTHCARE
ANF,ABERCROMBIE & FITCH CO.,20070328,20131221,CONSUMER CYCLICALS
ABMD,ABIOMED INC.,20180531,20221222,HEALTHCARE
ACN,ACCENTURE PLC,20110705,,TECHNOLOGY
ATVI,ACTIVISION BLIZZARD,20150828,20231018,TELECOMMUNICATIONS SERVICES
AYI,ACUITY BRANDS INC.,20160503,20180618,INDUSTRIALS
ADCT,ADC TELECOMMUNICATIONS INC.,,20070629,TELECOMMUNICATIONS SERVICES
ADBE,ADOBE SYSTEMS INC.,,,TECHNOLOGY
ADT,ADT CORP.,20121001,20160503,INDUSTRIALS
AAP,ADVANCE AUTO PARTS,20150708,20230825,CONSUMER CYCLICALS
AMD,ADVANCED MICRO DEVICES INC.,20170320,20130920,TECHNOLOGY
AES,AES CORP.,,,UTILITIES
AET,AETNA INC.,,20181129,HEALTHCARE
ACS,AFFILIATED COMPUTER SERVICES INC.,,20100129,TECHNOLOGY
AMG,AFFILIATED MANAGERS GROUP INC.,20140701,20191223,FINANCIALS
AFL,AFLAC INC.,,,FINANCIALS
A,AGILENT TECHNOLOGIES INC.,,,HEALTHCARE
GAS,AGL RESOURCES INC.,20111212,20160701,UTILITIES
APD,AIR PRODUCTS & CHEMICALS INC.,,,BASIC MATERIALS
ARG,AIRGAS INC.,20090928,20160523,BASIC MATERIALS
AKS,AK STEEL HOLDING CORP.,,20111216,BASIC MATERIALS
AKAM,AKAMAI TECHNOLOGIES INC.,,,TECHNOLOGY
ALK,ALASKA AIR GROUP INC.,20160513,20231218,INDUSTRIALS
ALB,ALBEMARLE CORP.,20160701,,BASIC MATERIALS
ABS,ALBERTSONS INC.,,20060525,CONSUMER NON CYCLICALS
AA,ALCOA INC.,,20161101,BASIC MATERIALS
ARE,ALEXANDRIA REAL ESTATE EQUITIES INC.,20170320,,REAL ESTATE
ALXN,ALEXION PHARMACEUTICALS INC.,20120521,20210721,HEALTHCARE
ALGN,ALIGN TECHNOLOGY INC.,20170619,,HEALTHCARE
AYE,ALLEGHENY ENERGY INC.,,20110225,UTILITIES
ATI,ALLEGHENY TECHNOLOGIES INC.,,20150702,BASIC MATERIALS
ALLE,ALLEGION PLC,20131202,,INDUSTRIALS
AGN,ALLERGAN PLC,,20150323,HEALTHCARE
BFH,BREAD FINANCIAL CORP.,20131221,20200622,INDUSTRIALS
LNT,ALLIANT ENERGY CORP.,20160701,,UTILITIES
ALL,ALLSTATE CORP.,,,FINANCIALS
AT,ALLTEL CORP.,,20071115,TELECOMMUNICATIONS SERVICES
ANR,ALPHA NATURAL RESOURCES INC.,20110601,20121002,ENERGY
ALTR,ALTERA CORP.,,20151229,TECHNOLOGY
MO,ALTRIA GROUP INC.,,,CONSUMER NON CYCLICALS
AMZN,AMAZON.COM INC.,,,CONSUMER CYCLICALS
AMBC,AMBAC FINANCIAL GROUP INC.,,20080620,FINANCIALS
AEE,AMEREN CORP.,,,UTILITIES
AAL,AMERICAN AIRLINES GROUP,20150323,,INDUSTRIALS
ACAS,AMERICAN CAPITAL LTD.,20070706,20090224,FINANCIALS
AEP,AMERICAN ELECTRIC POWER CO. INC.,,,UTILITIES
AXP,AMERICAN EXPRESS CO.,,,FINANCIALS
AIG,AMERICAN INTERNATIONAL GROUP INC.,,,FINANCIALS
AMT,AMERICAN TOWER REIT INC.,20071115,,REAL ESTATE
AWK,AMERICAN WATER WORKS COMPANY INC.,20160304,,UTILITIES
AMP,AMERIPRISE FINANCIAL INC.,20050930,,FINANCIALS
COR,CENCORA CORP.,,,HEALTHCARE
AME,AMETEK INC.,20130920,,INDUSTRIALS
AMGN,AMGEN INC.,,,HEALTHCARE
APH,AMPHENOL CORP.,20080929,,TECHNOLOGY
APC,ANADARKO PETROLEUM CORP.,,20190809,ENERGY
